Generating quicklooks for year 2025...
Failed to process stfc-temperature-rh-1_cao_20250821_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250822_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250823_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250824_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250825_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250826_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250827_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250828_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250829_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250830_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250831_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250901_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250902_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250903_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250904_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250905_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250906_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250907_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250908_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250909_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250910_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250911_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250912_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250913_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250914_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250915_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250916_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250917_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250918_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250919_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250920_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250921_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250922_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250923_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250924_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250925_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250926_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250927_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250928_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250929_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250930_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251001_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251002_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251003_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251004_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251005_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251006_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251007_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251008_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251009_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251010_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251011_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251012_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251013_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251014_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251015_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251016_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251017_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251018_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251019_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251020_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251021_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251022_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251023_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251024_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251025_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251026_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251027_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251028_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251029_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251030_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251031_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251101_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251102_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251103_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251104_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251105_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251106_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251107_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251108_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251109_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251110_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251111_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251112_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251113_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251114_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251115_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251116_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251117_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251118_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251119_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251120_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251121_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251122_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251123_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251124_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251125_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251126_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251127_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251128_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251129_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251130_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251201_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251202_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251203_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251204_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251205_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251206_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251207_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251208_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251209_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251210_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251211_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251212_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251213_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251214_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251215_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251216_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251217_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251218_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251219_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251220_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251221_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251222_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251223_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251224_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251225_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251226_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251227_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251228_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251229_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251230_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20251231_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Successfully generated quicklooks for year 2025
