Generating quicklooks for year 2025...
Failed to process stfc-temperature-rh-1_cao_20250623_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250624_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250625_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250626_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250627_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250628_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250629_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250630_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250701_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250702_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250703_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250704_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250705_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250706_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250707_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250708_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250709_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250710_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250711_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250712_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
Failed to process stfc-temperature-rh-1_cao_20250713_surface-met_v1.1.nc: "No variable named 'time'. Variables on the dataset include []"
